Library,Group,Version,License
jersey-entity-filtering,org.glassfish.jersey.ext,2.25.1,"Apache-2.0, BSD-2-Clause, GPL-2.0-with-classpath-exception, MIT"
jersey-media-jaxb,org.glassfish.jersey.media,2.25.1,"Apache-2.0, BSD-2-Clause, GPL-2.0-with-classpath-exception, MIT"
jersey-media-json-jackson,org.glassfish.jersey.media,2.25.1,Apache-2.0
jersey-media-multipart,org.glassfish.jersey.media,2.25.1,"Apache-2.0, BSD-2-Clause, GPL-2.0-with-classpath-exception, MIT"
javax.json,org.glassfish,1,"CDDL-1.1, GPL-2.0-only"
js,org.hammerlab.sbt,1.7R4,Apache-2.0
hibernate-commons-annotations,org.hibernate,5.1.2.Final,"LGPL-2.1-only, LGPL-3.0-only"
hibernate-core,org.hibernate,5.6.10.Final,LGPL-2.1-or-later
hibernate-validator,org.hibernate,5.4.3.Final,Apache-2.0
cas-client-core,org.jasig.cas.client,3.6.4,Apache-2.0
cas-server-core-api,org.jasig.cas,4.1.10,Apache-2.0
cas-server-core,org.jasig.cas,4.1.10,Apache-2.0
cas-server-support-generic,org.jasig.cas,4.1.10,Apache-2.0
cas-server-webapp-support,org.jasig.cas,4.1.10,Apache-2.0
inspektr-aspects,org.jasig.inspektr,1.4.GA,Apache-2.0
inspektr-audit,org.jasig.inspektr,1.4.GA,Apache-2.0
inspektr-common,org.jasig.inspektr,1.4.GA,Apache-2.0
inspektr-error,org.jasig.inspektr,1.4.GA,Apache-2.0
inspektr-support-spring,org.jasig.inspektr,1.4.GA,Apache-2.0
javassist,org.javassist,3.20.0-GA,Apache-2.0
jboss-logging,org.jboss.logging,3.3.3.Final,Apache-2.0
mimepull,org.jvnet.mimepull,1.9.6,"CDDL-1.1, GPL-2.0-with-classpath-exception"
tiger-types,org.jvnet,1.4,"CDDL-1.0, GPL-2.0-with-classpath-exception"
howl,org.objectweb.howl,1.0.1-1,BSD-3-Clause
asm,org.ow2.asm,3.1,BSD-3-Clause
carol-interceptors,org.ow2.carol,1.0.1,Apache-2.0
carol,org.ow2.carol,3.0.6,Apache-2.0
jotm-core,org.ow2.jotm,2.2.1,BSD-3-Clause
jotm-datasource,org.ow2.jotm,2.2.1,BSD-3-Clause
